ticker,name,current_price,wave_stage,supply_demand_stage,final_investment_score,investment_grade,price_change_20d,institutional_trend,analysis_date,recommendation_date
003670,포스코퓨처엠,206000.0,Wave 1-2 (상승 초기),관망세,0.675,B,-0.019047619047619,,2025-12-06,2025-12-06
006400,삼성SDI,307500.0,Wave 1-2 (상승 초기),관망세,0.675,B,-0.0238095238095238,,2025-12-06,2025-12-06
035720,카카오,61500.0,Wave 3 (상승 중기),관망세,0.655,B,-0.0128410914927768,,2025-12-06,2025-12-06
068270,셀트리온,183300.0,Wave 4 (조정),관망세,0.615,B,0.0558755760368663,,2025-12-06,2025-12-06
035420,NAVER,249500.0,Wave 4 (조정),관망세,0.555,C,-0.0403846153846153,,2025-12-06,2025-12-06
051910,LG화학,381500.0,Wave 4 (조정),관망세,0.555,C,-0.0390428211586901,,2025-12-06,2025-12-06
000660,SK하이닉스,544000.0,Wave 4 (조정),관망세,0.525,C,-0.1016673339139881,,2025-12-06,2025-12-06
207940,삼성바이오로직스,1641000.0,Wave 4 (조정),관망세,0.525,C,-0.1258868722630281,,2025-12-06,2025-12-06
028260,삼성물산,244000.0,Wave 1-2 (상승 초기),수요 증가,0.8340000000000001,S,0.086859688195991,,2025-12-06,2025-12-06
066570,LG전자,99700.0,Wave 1-2 (상승 초기),수요 증가,0.8340000000000001,S,0.1127232142857142,,2025-12-06,2025-12-06
000270,기아,123600.0,Wave 1-2 (상승 초기),수요 증가,0.8340000000000001,S,0.0870712401055409,,2025-12-06,2025-12-06
005380,현대차,315000.0,Wave 1-2 (상승 초기),수요 증가,0.81,S,0.1757505645177375,,2025-12-06,2025-12-06
012330,현대모비스,362500.0,Wave 1-2 (상승 초기),수요 증가,0.81,S,0.2063227953410981,,2025-12-06,2025-12-06
011200,HMM,20550.0,Wave 3 (상승 중기),수요 증가,0.79,A,0.0173267326732673,,2025-12-06,2025-12-06
105560,KB금융,130700.0,Wave 1-2 (상승 초기),균형,0.78,A,0.0202221649388031,,2025-12-06,2025-12-06
024110,기업은행,21050.0,Wave 1-2 (상승 초기),균형,0.768,A,0.0446650124069478,,2025-12-06,2025-12-06
003550,LG,85600.0,Wave 1-2 (상승 초기),균형,0.768,A,0.003516998827667,,2025-12-06,2025-12-06
018260,삼성에스디에스,176000.0,Wave 1-2 (상승 초기),균형,0.762,A,0.0074413279908414,,2025-12-06,2025-12-06
055550,신한지주,80200.0,Wave 1-2 (상승 초기),균형,0.756,A,0.0177664974619289,,2025-12-06,2025-12-06
010130,고려아연,1359000.0,Wave 1-2 (상승 초기),균형,0.75,A,0.3245614035087719,,2025-12-06,2025-12-06
000810,삼성화재,522000.0,Wave 1-2 (상승 초기),균형,0.75,A,0.0215264187866927,,2025-12-06,2025-12-06
009150,삼성전기,263000.0,Wave 1-2 (상승 초기),균형,0.75,A,0.1741071428571428,,2025-12-06,2025-12-06
032830,삼성생명,158200.0,Wave 3 (상승 중기),균형,0.748,A,-0.0044052863436123,,2025-12-06,2025-12-06
005930,삼성전자,108400.0,Wave 1-2 (상승 초기),관망세,0.714,A,0.0775347912524851,,2025-12-06,2025-12-06
086790,하나금융지주,95200.0,Wave 1-2 (상승 초기),관망세,0.708,A,-0.0008396305625524,,2025-12-06,2025-12-06
005490,POSCO홀딩스,311000.0,Wave 1-2 (상승 초기),관망세,0.702,A,0.0332510186378674,,2025-12-06,2025-12-06
033780,KT&G,143000.0,Wave 1-2 (상승 초기),관망세,0.702,A,0.0287769784172661,,2025-12-06,2025-12-06
