ticker,yahoo_ticker
005930,005930.KS
000660,000660.KS
005380,005380.KS
051910,051910.KS
006400,006400.KS
035720,035720.KS
035420,035420.KS
068270,068270.KS
207940,207940.KS
105560,105560.KS
012330,012330.KS
055550,055550.KS
028260,028260.KS
066570,066570.KS
003670,003670.KS
000270,000270.KS
003550,003550.KS
096770,096770.KS
034730,034730.KS
009150,009150.KS
017670,017670.KS
033780,033780.KS
000810,000810.KS
005490,005490.KS
032830,032830.KS
086790,086790.KS
005830,005830.KS
323410,323410.KS
018260,018260.KS
000100,000100.KS
015760,015760.KS
009540,009540.KS
010130,010130.KS
011170,011170.KS
010950,010950.KS
047810,047810.KS
011200,011200.KS
024110,024110.KS
090430,090430.KS
078930,078930.KS
